,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
84,0,0.248571429,3,3,64,-1.01E-06,-5.22E-08,0,0,0,0,0,0,-9.31E-07,,1
85,0,0.081428571,0,0,58,-2.38E-05,-2.28E-06,0,1,0,0,1,0,-3.20E-03,,1
86,0.025714286,0.494285714,8,4,138.5,-1.24E-06,-8.42E-09,0,1,0,0,0,-3.79E-08,-3.18E-05,,1
87,0.074285714,0.287142857,3,1.5,122,-3.50E-06,-2.26E-07,-1.15E-08,1,0,0,2,-8.79E-08,-1.84E-04,,1
88,0.008571429,0.285714286,1,0.5,94,-1.42E-06,-6.70E-08,0,1.5,0,0,2,-1.55E-08,-2.26E-06,,1
89,0,0.247142857,2,2,78,-3.31E-05,-1.61E-06,0,1,0,0,1,0,-7.54E-05,,1
90,0,0.082857143,1,1,73,-1.52E-06,-3.68E-08,0,0,0,0,0,0,-1.11E-06,,1
91,0.005714286,0.082857143,2,1,122.5,-3.54E-04,-6.94E-06,0,0,0,0,1,-1.24E-08,-4.29E-05,,1
92,0,0,0,0,137,-6.10E-06,-1.15E-07,0,0,0,0,1,0,-3.28E-05,,1
93,0.988571429,0.898571429,18,2,139.2222222,-5.26E-05,-4.26E-06,-2.02E-08,1,0,0,2,-1.73E-06,-2.00E-03,,-1
94,0.011428571,0.122857143,1,0.5,86.5,-3.21E-05,-1.65E-06,0,0.5,0,0,2,-1.58E-08,-1.98E-06,,1
95,0,0.165714286,2,2,23,-7.11E-06,-2.33E-07,0,0,0,0,0,0,-2.80E-05,,1
96,0.002857143,0.247142857,4,2,89,-2.32E-06,-3.81E-07,0,0.5,0,0,2,-4.71E-09,-1.06E-06,,1
97,0,0.082857143,1,1,82,-9.35E-05,-4.98E-06,0,0,0,0,0,0,-5.87E-05,,1
98,0,0,0,0,56,-3.59E-05,-1.50E-06,0,0,0,0,1,0,-7.88E-06,,1
99,0,0.207142857,5,2.5,111.5,-4.14E-05,-3.69E-06,0,0,0,0,1,0,-3.36E-05,,1
100,0,0.082857143,1,1,109,-2.60E-04,-1.89E-05,0,0,0,0,0,0,-3.82E-04,,1
101,0,0.165714286,2,2,123,-2.55E-04,-1.71E-05,0,0,0,0,0,0,-8.22E-04,,1
102,0,0.165714286,2,2,27,-5.95E-06,-1.81E-07,0,0,0,0,0,0,-1.09E-04,,1
103,0,0.164285714,1,1,140,-4.13E-03,-5.83E-05,0,1,0,0,0,0,-3.75E-03,,1
104,0,0.164285714,1,1,41,-1.95E-04,-2.13E-06,0,1,0,0,1,0,-8.57E-05,,1
105,0,0.165714286,2,2,130,-1.66E-05,-1.35E-06,0,0,0,0,1,0,-2.97E-05,,1
106,0,0.164285714,1,1,148,-4.93E-06,-1.96E-07,0,1,0,0,0,0,-2.63E-05,,1
107,0,0.164285714,1,1,142,-1.12E-05,-8.56E-07,0,1,0,0,0,0,-1.51E-04,,1
108,0.057142857,0.082857143,5,1,117.4,-1.16E-04,-3.76E-06,-1.05E-08,0,0,0,3,-1.99E-07,-3.36E-05,,1
109,0.002857143,0.164285714,2,1,89.5,-1.66E-04,-1.15E-05,0,0.5,0,0,1,-7.00E-09,-2.87E-04,,1
110,0.014285714,0.232,14,2.8,84,-7.59E-04,-2.05E-05,0,0,0,0,0,-4.14E-07,-4.20E-04,,1
111,0.314285714,0.612857143,6,1.5,91.25,-7.28E-05,-6.86E-07,-3.50E-09,1.5,0,0,4,-3.81E-07,-3.98E-05,,-1
112,0.057142857,0.687428571,12,2.4,103,-5.20E-05,-6.54E-06,-7.16E-09,1.2,0,0,4,-6.44E-08,-7.86E-06,,-1
113,0,0.165714286,2,2,96,-7.78E-06,-7.85E-07,0,0,0,0,0,0,-1.82E-06,,1
114,0,0.164285714,1,1,140,-5.46E-06,-2.19E-07,0,1,0,0,0,0,-3.86E-06,,1
115,0,0.248571429,6,3,128.5,-8.67E-05,-2.09E-06,0,0,0,0,3,0,-2.04E-05,,-1
116,0,0.165714286,2,2,68,-7.23E-07,-3.97E-09,0,0,0,0,1,0,-2.16E-05,,1
117,0.857142857,0.691098901,19,1.461538462,79.76923077,-4.23E-05,-1.28E-06,-1.49E-08,0.538461538,0,0,6,-1.10E-06,-3.25E-05,,1
118,0,0.325714286,0,0,140,-1.89E-05,-9.68E-07,0,4,0,0,1,0,-1.01E-05,,1
119,0,0.082857143,1,1,60,-3.59E-04,-3.67E-05,0,0,0,0,0,0,-6.21E-04,,1
120,0.831428571,0.327142857,3,1,124.6666667,-6.61E-06,-5.74E-07,-2.22E-08,1,0,0,1,-1.06E-06,-1.10E-03,,1
