 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
255941,732850798539968512,Wed May 18 08:30:20 +0000 2016,77,77,0,0,357,357,1329,1329,3547,3547,0,0,1,83.0,1.0,1.0,1.0,1529253321000.0,1529253321000.0,1463560220000.0,0,0,0,0,0,0.0,2.0230434851903247e-08,5.43436060355866e-09,83.0,5.3993493167570216e-08,0.0,1.1721169929244167e-09,1.0,1.0,0.1642857142857142,1
255942,732857375468720128,Wed May 18 08:56:28 +0000 2016,181,181,0,0,184,184,39981,39981,29129,29129,4,4,1,110.0,1.0,1.0,1.0,1529229826000.0,1529229826000.0,1463561788000.0,0,0,0,0,0,0.0,6.088350012832727e-07,2.801971942575778e-09,110.0,4.435795691048361e-07,6.091243353425604e-11,2.756287617425086e-09,1.0,1.0,0.1642857142857142,1
255943,732859301832839168,Wed May 18 09:04:08 +0000 2016,14,14,0,0,153,153,3099,3099,4039,4039,0,0,1,111.0,3.0,1.0,1.0,1529250330000.0,1529250330000.0,1463562248000.0,0,0,0,0,0,0.0,4.7177507785963366e-08,2.3291896389972234e-09,111.0,6.148756177718814e-08,0.0,2.1312846369909236e-10,3.0,1.0,0.3299999999999999,1
255944,732866174644563968,Wed May 18 09:31:26 +0000 2016,945,945,0,0,190,190,10178,10178,184,184,4,4,1,93.0,1.0,1.0,0.0,1529254545000.0,1529254545000.0,1463563886000.0,0,0,0,0,0,0.0,1.549383147457845e-07,2.892344252475835e-09,93.0,2.8010070655555453e-09,6.089145794685969e-11,1.4385606939945602e-08,1.0,1.0,0.1642857142857142,1
255945,732868968835391488,Wed May 18 09:42:33 +0000 2016,39,39,0,0,184,184,1517,1517,9450,9450,0,0,1,141.0,2.0,1.0,1.0,1529219139000.0,1529219139000.0,1463564553000.0,0,0,0,0,0,0.0,2.3105773601253082e-08,2.8025460399674134e-09,141.0,1.4393510911789166e-07,0.0,5.94017910645267e-10,2.0,1.0,0.2471428571428571,1
255946,732873117266284544,Wed May 18 09:59:02 +0000 2016,386,386,0,0,1769,1769,7764,7764,3298,3298,4,4,1,140.0,2.0,1.0,0.0,1529234066000.0,1529234066000.0,1463565542000.0,0,0,0,0,0,0.0,1.1823015848506054e-07,2.693832436373932e-08,140.0,5.0221929763489127e-08,6.091198273315844e-11,5.878006333749789e-09,2.0,1.0,0.2471428571428571,1
255947,732875068666183680,Wed May 18 10:06:47 +0000 2016,66,66,0,0,560,560,1336,1335,7765,7765,0,0,2,279.0,2.0,2.0,0.0,1529229144000.0,1529229140000.0,1463566007000.0,1,0,0,0,0,0.0028571428571428,2.0346271302877293e-08,8.528377192822817e-09,139.5,1.1825508732548068e-07,0.0,1.0051301691541174e-09,1.0,1.0,0.2457142857142857,1
255948,732877732283961344,Wed May 18 10:17:22 +0000 2016,2027,2027,0,0,228,228,37258,37258,18913,18913,18,18,1,121.0,5.0,1.0,1.0,1529245576000.0,1529245576000.0,1463566642000.0,0,0,0,0,0,0.0,5.672747368280977e-07,3.471432712351878e-09,121.0,2.87961433722417e-07,2.740604772909377e-10,3.0862254859373936e-08,5.0,1.0,0.4957142857142858,1
255949,732877778966708224,Wed May 18 10:17:33 +0000 2016,250,250,0,0,354,354,5237,5235,532,532,2,2,2,247.0,4.0,2.0,2.0,1529231371000.0,1529230844000.0,1463566653000.0,2,0,0,0,0,0.0057142857142857,7.975363573479445e-08,5.39102292345183e-09,123.5,8.10176326349258e-09,3.045775662967136e-11,3.8072195787089206e-09,2.0,1.0,0.3285714285714285,1
255950,732890706394615808,Wed May 18 11:08:55 +0000 2016,222,222,0,0,275,275,936,936,3111,3111,0,0,1,120.0,2.0,1.0,1.0,1529227969000.0,1529227969000.0,1463569735000.0,0,0,0,0,0,0.0,1.4255637762051292e-08,4.188355111713787e-09,120.0,4.738171910015126e-08,0.0,3.3811448538198573e-09,2.0,1.0,0.2471428571428571,1
